"fault_code","vendor_explanation","vendor_recommended_action"
"F0884","The object refers to an object that was not found.","Make sure that referenced object exists and the name is spelled correctly in the relation object"
"F1429","The object refers to an object that was not found","Make sure that referenced object exists and the name is spelled correctly in the relation object."
"F1259","This fault occurs when policy manager fails to activate a management rule due to software programming failure","1.Look at any configuration issues 2.Verify the configuration is correct/complete  3.If the above are fine,remove unsued rules and retry       "
"F1404","This fault occurs when policy manager fails to activate a prefix entry due to either hardware or software programming failure","1.Look at any configuration issues  2.Verify the configuration is correct/complete  3.If the above are fine,remove unsued rules and retry   "
"F0852","The object refers to an object that was not found","Make sure that referenced object exists and the name is spelled correctly in the relation object."
"F1203","This fault occurs when policy manager fails to activate a rule due to hardware programming failure","1.Look at any configuration issues  2.Verify the configuration is correct/complete  3.If the above are fine,remove unsued rules and retry "
"F1207","This fault occurs when the operational state of the arp adjacency is down","1.Look at any configuration issues 2.Verify the configuration is correct/complete.  3.Ensure the port is up on which ARP is configured  "
"F1213","This fault occurs when the bgp instance memory alert is critical","1.Look at any configuration issues  2.Verify the configuration is correct/complete  3.Reduce the number of peers in bgp configuration  4.Reduce the number of prefixes exported into bgp  5.If the above actions did not resolve the issue,generate the show tech-support file and contact Cisco TAC"
"F1214","This fault occurs when a non-spine node is marked as a bgp route reflector","If you see this fault,check remove the RRNodePEp policy and choose another node,which is a spine "
"F0853","The object refers to an object that was not found.","Make sure that referenced object exists and the name is spelled correctly in the relation object. "
"F1332","This fault occurs when sending a callhome message to destination does not succeed.","Make sure that referenced object exists and the name is spelled correctly in the relation object.,2 Verify destination information is correct. Ensure it is reachable (ping/ssh) from the fabric and DNS entries have been configured correctly. If the above action did not resolve the issue,contact Cisco TAC."
"F0856","The object refers to an object that was not found.","Make sure that referenced object exists and the name is spelled correctly in the relation object. "
"F0855","The object refers to an object that was not found.","Make sure that referenced object exists and the name is spelled correctly in the relation object.   "
"F0854","The object refers to an object that was not found.","Make sure that referenced object exists and the name is spelled correctly in the relation object.  "
"F0857","The object refers to an object that was not found","Make sure that referenced object exists and the name is spelled correctly in the relation object.   "
"F1388","This fault occurs when the native vlan mismatch happens with the value sent by the neighbor","Look at native vlan configuration on the node and the peer for mismatch If the above actions did not resolve the issue,generate the show tech-support file and contact Cisco TAC.   "
"F1389","This fault occurs when the native vlan is locally configured but the neighbor does not send native vlan info"," Look at native vlan configuration on the node and the make sure the peer matches it If the above actions did not resolve the issue,generate the show tech-support file and contact Cisco TAC.  "
