"facility","severity_id","mnemonic","vendor_format","vendor_explanation","vendor_recommended_action"
"AM","2","API_INIT","Failed to initialize %s API","An unrecoverable software error has occurred during the AM initialization.","Use 'reload' command to reload the system. Be aware that this problem affects all VDCs on the system."
"AM","2","BAD_TIMER","%s","An unrecoverable software error has occurred during the AM initialization.","Use 'reload' command to reload the system. Be aware that this problem affects all VDCs on the system."
"AM","2","CLI_INIT","Failed to initialize CLI","An unrecoverable software error has occurred during the AM initialization.","Use 'reload' command to reload the system. Be aware that this problem affects all VDCs on the system."
"AM","2","INIT_FAIL","Initialization failure","An unrecoverable software error has occurred during the AM initialization.","Use 'reload' command to reload the system. Be aware that this problem affects all VDCs on the system."
"AM","2","MQ_OPEN","Failed to open message queue %s: %s","An unrecoverable software error has occurred during the AM initialization.","Use 'reload' command to reload the system. Be aware that this problem affects all VDCs on the system."
"AM","2","MTS_BIND","Failed to do mts_bind for %s: %s","An unrecoverable software error has occurred during the AM initialization.","Use 'reload' command to reload the system. Be aware that this problem affects all VDCs on the system."
"AM","2","MTS_OPC_SET","Failed to register with opcode %d: %s","An unrecoverable software error has occurred during the AM initialization.","Use 'reload' command to reload the system. Be aware that this problem affects all VDCs on the system."
"AM","2","MTS_RECV","MTS queue receive failed on %s queue: %s","An unexpected fatal error has occurred.","Use 'reload' command to reload the system. Be aware that this problem affects all VDCs on the system."
"AM","2","MTS_SADDR_GET","Failed to get source of mts queue %s: %s","An unrecoverable software error has occurred during the AM initialization.","Use 'reload' command to reload the system. Be aware that this problem affects all VDCs on the system."
"AM","2","NO_WORKBIT","Failed to register %s too many notify clients","An unexpected fatal error has occurred.","Contact the Cisco Technical Assistance Center (TAC) through the Cisco Support web site http://www.cisco.com/tac."
"AM","2","REQD_COMP_DOWN","Required component \%s\ has gone down.","An unexpected fatal error has occurred.","Use 'reload' command to reload the system. Be aware that this problem affects all VDCs on the system."
"AM","2","REQD_COMP_FAIL","Required component \%s\ has failed to initialize.","An unrecoverable software error has occurred during the AM initialization.","Use 'reload' command to reload the system. Be aware that this problem affects all VDCs on the system."
"AM","2","SDB_CREAT","Failed to create shared database","An unrecoverable software error has occurred during the AM initialization.","Use 'reload' command to reload the system. Be aware that this problem affects all VDCs on the system."
"AM","2","SDB_DESTROY","Failed to destroy shared database","An unrecoverable software error has occurred during the AM initialization.","Use 'reload' command to reload the system. Be aware that this problem affects all VDCs on the system."
"AM","2","SDB_OPEN","Failed to open shared database","An unrecoverable software error has occurred during the AM initialization.","Use 'reload' command to reload the system. Be aware that this problem affects all VDCs on the system."
"AM","2","SET_SCHED","Failed to set policy or priority","An unrecoverable software error has occurred during the AM initialization.","Use 'reload' command to reload the system. Be aware that this problem affects all VDCs on the system."
"AM","2","SHM_CREAT","Failed to create shared memory: %s","An unrecoverable software error has occurred during the AM initialization.","Use 'reload' command to reload the system. Be aware that this problem affects all VDCs on the system."
"AM","2","SHM_LOCK_CREAT","Failed to create shared memory lock: %s","An unrecoverable software error has occurred during the AM initialization.","Use 'reload' command to reload the system. Be aware that this problem affects all VDCs on the system."
"AM","2","SVR_REG","Failed to register as a client of %s for VRF %s","An unrecoverable software error has occurred during the AM initialization.","Use 'reload' command to reload the system. Be aware that this problem affects all VDCs on the system."
"AM","2","SYSMGR_NAME","Failed to get name from sysmgr during %s","An unrecoverable software error has occurred during the AM initialization.","Use 'reload' command to reload the system. Be aware that this problem affects all VDCs on the system."
"AM","2","SYSMGR_NOTIFY","Bad notification from sysmgr for %s","An unrecoverable software error has occurred during the AM initialization.","Use 'reload' command to reload the system. Be aware that this problem affects all VDCs on the system."
"AM","2","SYSMGR_QUERY","Failed to query sysmgr for %s","An unrecoverable software error has occurred during the AM initialization.","Use 'reload' command to reload the system. Be aware that this problem affects all VDCs on the system."
"AM","2","SYSMGR_UUID","Failed to get uuid from sysmgr during %s","An unrecoverable software error has occurred during the AM initialization.","Use 'reload' command to reload the system. Be aware that this problem affects all VDCs on the system."
"AM","2","THR_CREAT","Failed to create thread %s: error %d","An unrecoverable software error has occurred during the AM initialization.","Use 'reload' command to reload the system. Be aware that this problem affects all VDCs on the system."
"AM","2","THREAD_FAIL","Failed to start %s thread","An unrecoverable software error has occurred during the AM initialization.","Use 'reload' command to reload the system. Be aware that this problem affects all VDCs on the system."
"AM","2","URIB_PIB","Unable to get pib for %s VRF from URIB","An unrecoverable software error has occurred during the AM initialization.","Use 'reload' command to reload the system. Be aware that this problem affects all VDCs on the system."
"AM","3","BAD_PARAMS","Called %s with address family %d, iod %d, l3address %s","An unexpected but recoverable error has occurred.","No action is required."
"AM","3","DEL_PROT_ADJ","Unable to delete protocol adjacency for %s, uuid %ld","An unexpected but recoverable error has occurred.","No action is required."
"AM","3","IF_INDEX","Invalid interface index received from %d","An unexpected but recoverable error has occurred.","No action is required."
"AM","3","IP_GLEAN_EXCESS_TRAFFIC","Excess traffic (%llu packets / %llu octets) were dropped in %s seconds for ungleaned prefix %s/32 on interface %s in vrf %s","This message indicates an informational log about a system event.","No action is required."
"AM","3","IPV6_GLEAN_EXCESS_TRAFFIC","Excess traffic (%llu packets / %llu octets) were dropped in %s seconds for ungleaned prefix %s/128 on interface %s in vrf %s","This message indicates an informational log about a system event.","No action is required."
"AM","3","MAC_REG_FAILED","Mac registration with L2FM failed for mac %s, iod %s, phy iod: %s","MAC registration with L2FM failed.","No action is required."
"AM","3","MAX_RETRIES","Notification retry limit exceeded for %s","Client is not replying to our notifications.","Contact the Cisco Technical Assistance Center (TAC) through the Cisco Support web site http://www.cisco.com/tac."
"AM","3","MQ_RECV","Message queue receive failed on %s queue: %s","An unexpected but recoverable error has occurred.","No action is required."
"AM","3","MQ_SEND","Failed to send %s to %s queue: %s","An unexpected but recoverable error has occurred.","No action is required."
"AM","3","MSG_TO_TLV","Notification message to TLV failed","An unexpected but recoverable error has occurred.","No action is required."
"AM","3","MTS_DROP","MTS drop failed on %s queue: %s","An unexpected but recoverable error has occurred.","No action is required."
