int_prefix,int_prefix_long
Fa,FastEthernet
FastEthernet,FastEthernet
Gi,GigabitEthernet
GigabitEthernet,GigabitEthernet
Tw,TwoGigabitEthernet
TwoGigabitEthernet,TwoGigabitEthernet
Te,TenGigabitEthernet
TenGigE,TenGigabitEthernet
TenGigabitEthernet,TenGigabitEthernet
Twe,TwentyFiveGigE
TwentyFiveGigE,TwentyFiveGigE
Fo,FortyGigabitEthernet
FortyGigabitEthernet,FortyGigabitEthernet
Hu,HundredGigE
HundredGigE,HundredGigE
Et,Ethernet
Eth,Ethernet
Ethernet,Ethernet
Vl,Vlan
Vlan,Vlan
vlan,Vlan
FD,Fddi
PortCh,Port-Channel
Po,Port-Channel
Port-Channel,Port-Channel
Tu,Tunnel
Tunnel,Tunnel
Lo,Loopback
Loopback,Loopback
Vi,Virtual-Access
Virtual-Access,Virtual-Access
Vt,Virtual-Template
Virtual-Template,Virtual-Template
EO,EOBC
EOBC,EOBC
Se,Serial
Serial,Serial
PO,POS
POS,POS
PosCh,Pos-Channel
Pos-Channel,Pos-Channel
Mul,Multilink
Multilink,Multilink
AT,ATM
ATM,ATM
Async,Async
AppGig,AppGigabitEthernet
AppGigabitEthernet,AppGigabitEthernet
Group-Async,Group-Async
MFR,MFR
Di,Dialer
Dialer,Dialer
fc,fc
